symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url
TFPM,Triple Flag Precious Metals Corp. Common Shares,$35.36,0.05,0.142%,447459,7304336982.0,Canada,2022,Precious Metals,Industrials,/market-activity/stocks/tfpm
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,$15.81,0.03,0.19%,13153,7293848197.0,Canada,2021,Oil & Gas Production,Utilities,/market-activity/stocks/biph
SFM,Sprouts Farmers Market Inc. Common Stock,$77.12,-0.31,-0.40%,1520935,7293731428.0,United States,2013,Food Chains,Consumer Staples,/market-activity/stocks/sfm
AL,Air Lease Corporation Class A Common Stock,$65.00,0.02,0.031%,2291337,7282301520.0,United States,2011,Diversified Commercial Services,Consumer Discretionary,/market-activity/stocks/al
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,$45.31,-0.90,-1.948%,497031,7277935651.0,Argentina,,Commercial Banks,Finance,/market-activity/stocks/ggal
GLXY,Galaxy Digital Inc. Class A Common Stock,$18.63,0.35,1.915%,5313633,7277070448.0,United States,,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/glxy
JXN,Jackson Financial Inc. Class A Common Stock ,$103.31,-2.59,-2.446%,586004,7271550489.0,United States,2021,Life Insurance,Finance,/market-activity/stocks/jxn
VICR,Vicor Corporation Common Stock,$159.83,4.12,2.646%,470835,7251989606.0,United States,,Industrial Machinery/Components,Technology,/market-activity/stocks/vicr
SAIL,SailPoint Inc. Common Stock,$12.82,-0.29,-2.212%,2632503,7227959947.0,United States,2025,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/sail
AMG,Affiliated Managers Group Inc. Common Stock,$270.31,3.00,1.122%,355433,7213149366.0,United States,,Investment Managers,Finance,/market-activity/stocks/amg
QRVO,Qorvo Inc. Common Stock,$77.78,-1.65,-2.077%,1348032,7210647713.0,United States,,Semiconductors,Technology,/market-activity/stocks/qrvo
OGC,OceanaGold Corporation,$32.00,32.00,,949692,7203897632.0,,2026,,,/market-activity/stocks/ogc
SANM,Sanmina Corporation Common Stock,$131.82,2.53,1.957%,449035,7198016336.0,United States,1993,Electrical Products,Technology,/market-activity/stocks/sanm
DOX,Amdocs Limited Ordinary Shares,$66.42,0.38,0.575%,1039584,7170008380.0,Guernsey,,EDP Services,Technology,/market-activity/stocks/dox
PEGA,Pegasystems Inc. Common Stock,$42.35,-0.13,-0.306%,1691176,7159001373.0,United States,1996,EDP Services,Technology,/market-activity/stocks/pega
AAL,American Airlines Group Inc. Common Stock,$10.81,-0.09,-0.826%,56698555,7137892434.0,United States,,Air Freight/Delivery Services,Consumer Discretionary,/market-activity/stocks/aal
AWI,Armstrong World Industries Inc Common Stock,$166.58,0.48,0.289%,698605,7135295882.0,United States,,Plastic Products,Industrials,/market-activity/stocks/awi
INGR,Ingredion Incorporated Common Stock,$113.33,-0.93,-0.814%,399367,7133561497.0,United States,,Packaged Foods,Consumer Staples,/market-activity/stocks/ingr
CE,Celanese Corporation Common Stock,$63.57,-0.22,-0.345%,1825127,7114929726.0,United States,2005,Major Chemicals,Industrials,/market-activity/stocks/ce
STAG,Stag Industrial Inc. Common Stock,$37.19,0.81,2.226%,1244988,7109618474.0,United States,2011,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/stag
CIG,Comp En De Mn Cemig ADS American Depositary Shares,$2.47,0.00,0.00%,6978616,7068601281.0,Brazil,,Electric Utilities: Central,Utilities,/market-activity/stocks/cig
IBP,Installed Building Products Inc. Common Stock,$262.04,-5.47,-2.045%,375098,7068574333.0,United States,2014,Homebuilding,Consumer Discretionary,/market-activity/stocks/ibp
CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock,$23.92,-0.04,-0.167%,2816797,7067551815.0,United States,2021,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/cwan
SOBO,South Bow Corporation Common Shares,$33.85,0.65,1.958%,1146680,7059725501.0,Canada,2024,Natural Gas Distribution,Energy,/market-activity/stocks/sobo
IBRX,ImmunityBio Inc. Common Stock,$6.86,-0.22,-3.107%,12979709,7052844588.0,United States,2015,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/ibrx
NOV,NOV Inc. Common Stock,$19.56,0.73,3.877%,4562582,7049512881.0,United States,,Oil and Gas Field Machinery,Consumer Discretionary,/market-activity/stocks/nov
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$19.77,0.02,0.101%,37705,7043514067.0,Bermuda,,Property-Casualty Insurers,Finance,/market-activity/stocks/acglo
APLD,Applied Digital Corporation Common Stock,$25.18,-0.01,-0.04%,20180943,7039971023.0,United States,2022,Finance: Consumer Services,Finance,/market-activity/stocks/apld
EPAM,EPAM Systems Inc. Common Stock,$134.22,-2.80,-2.043%,1086838,7039075557.0,United States,2012,EDP Services,Technology,/market-activity/stocks/epam
WULF,TeraWulf Inc. Common Stock,$16.57,1.02,6.559%,31494992,7026808831.0,United States,,EDP Services,Technology,/market-activity/stocks/wulf
YOU,Clear Secure Inc. Class A Common Stock,$52.62,0.85,1.642%,1911419,7015382592.0,United States,2021,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/you
LUMN,Lumen Technologies Inc. Common Stock,$6.81,0.18,2.715%,15475771,7013766437.0,United States,,Telecommunications Equipment,Telecommunications,/market-activity/stocks/lumn
VLY,Valley National Bancorp Common Stock,$12.62,0.05,0.398%,5540197,7009478896.0,United States,,Major Banks,Finance,/market-activity/stocks/vly
BEPJ,Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes,$24.40,0.28,1.161%,11370,7006809896.0,Canada,2024,Electric Utilities: Central,Utilities,/market-activity/stocks/bepj
KYMR,Kymera Therapeutics Inc. Common Stock,$85.10,-0.17,-0.199%,359781,6947767729.0,United States,2020,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/kymr
SLAB,Silicon Laboratories Inc. Common Stock,$210.00,0.51,0.243%,468422,6923367360.0,United States,2000,Semiconductors,Technology,/market-activity/stocks/slab
TKR,Timken Company (The) Common Stock,$99.17,0.23,0.232%,433170,6919889119.0,United States,,Metal Fabrications,Industrials,/market-activity/stocks/tkr
WFRD,Weatherford International plc Ordinary Shares,$96.35,1.45,1.528%,880490,6909990086.0,United States,,Oil and Gas Field Machinery,Consumer Discretionary,/market-activity/stocks/wfrd
VAL,Valaris Limited Common Shares,$99.70,2.26,2.319%,766359,6902323322.0,United States,2021,Oil & Gas Production,Energy,/market-activity/stocks/val
ICL,ICL Group Ltd. Ordinary Shares,$5.34,0.08,1.521%,1308483,6892192373.0,Israel,2014,Agricultural Chemicals,Industrials,/market-activity/stocks/icl
SSD,Simpson Manufacturing Company Inc. Common Stock,$166.54,-1.07,-0.638%,229540,6860451758.0,United States,,Industrial Machinery/Components,Consumer Discretionary,/market-activity/stocks/ssd
FLR,Fluor Corporation Common Stock,$47.72,0.74,1.575%,1993142,6853903871.0,United States,,Military/Government/Technical,Industrials,/market-activity/stocks/flr
HQY,HealthEquity Inc. Common Stock,$81.08,-2.36,-2.828%,1132649,6849509158.0,United States,2014,Real Estate,Real Estate,/market-activity/stocks/hqy
SNEX,StoneX Group Inc. Common Stock,$86.89,1.28,1.495%,783862,6837802902.0,United States,,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/snex
PB,Prosperity Bancshares Inc. Common Stock,$67.32,0.10,0.149%,1075752,6832240961.0,United States,,Major Banks,Finance,/market-activity/stocks/pb
ORA,Ormat Technologies Inc. Common Stock,$112.24,1.67,1.51%,423382,6829288931.0,United States,2004,Electric Utilities: Central,Utilities,/market-activity/stocks/ora
TAL,TAL Education Group American Depositary Shares,$11.18,-0.10,-0.887%,2078370,6820042483.0,China,,Other Consumer Services,Real Estate,/market-activity/stocks/tal
MORN,Morningstar Inc. Common Stock,$176.63,-0.03,-0.017%,375197,6803331365.0,United States,2005,Investment Managers,Finance,/market-activity/stocks/morn
CMC,Commercial Metals Company Common Stock,$61.17,-0.10,-0.163%,1054514,6782981279.0,United States,,Steel/Iron Ore,Industrials,/market-activity/stocks/cmc
TEX,Terex Corporation Common Stock,$59.62,-0.08,-0.134%,1246773,6778794000.0,United States,,Construction/Ag Equipment/Trucks,Industrials,/market-activity/stocks/tex
SATA,Strive Inc. Variable Rate Series A Perpetual Preferred Stock,$97.42,-0.30,-0.307%,58001,6737448835.0,United States,,,,/market-activity/stocks/sata
ACLX,Arcellx Inc. Common Stock,$114.80,0.08,0.07%,915621,6713482418.0,United States,2022,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/aclx
GKOS,Glaukos Corporation Common Stock,$115.06,-1.63,-1.397%,707052,6682548109.0,United States,2015,Medical/Dental Instruments,Health Care,/market-activity/stocks/gkos
BLTE,Belite Bio Inc American Depositary Shares,$169.79,-1.38,-0.806%,98430,6679531808.0,United States,2022,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/blte
TRNO,Terreno Realty Corporation Common Stock,$62.83,0.18,0.287%,599122,6676092439.0,United States,2010,Real Estate,Finance,/market-activity/stocks/trno
SSRM,SSR Mining Inc. Common Stock,$32.59,0.725,2.275%,4373832,6673862685.0,Canada,,Precious Metals,Industrials,/market-activity/stocks/ssrm
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,$22.29,-0.06,-0.268%,39283,6672187426.0,United States,2019,Power Generation,Utilities,/market-activity/stocks/cmsd
PRMB,Primo Brands Corporation Class A Common Stock,$18.34,-0.79,-4.13%,2147910,6660664823.0,United States,2024,Beverages (Production/Distribution),Consumer Staples,/market-activity/stocks/prmb
FIGR,Figure Technology Solutions Inc. Class A Common Stock,$30.77,-1.53,-4.737%,3828590,6657099531.0,U.S. Virgin Islands,2025,Finance: Consumer Services,Finance,/market-activity/stocks/figr
EPRT,Essential Properties Realty Trust Inc. Common Stock,$31.63,0.63,2.032%,2219477,6652656295.0,United States,2018,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/eprt
AN,AutoNation Inc. Common Stock,$193.51,-3.31,-1.682%,308806,6642324989.0,United States,,Retail-Auto Dealers and Gas Stations,Consumer Discretionary,/market-activity/stocks/an
NICE,NICE Ltd American Depositary Shares,$111.78,-1.59,-1.402%,227967,6640132172.0,Israel,,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/nice
LNC,Lincoln National Corporation Common Stock,$34.93,-0.35,-0.992%,1425835,6639857882.0,United States,,Life Insurance,Finance,/market-activity/stocks/lnc
VFC,V.F. Corporation Common Stock,$16.95,-0.11,-0.645%,3949990,6631913664.0,United States,,Garments and Clothing,Industrials,/market-activity/stocks/vfc
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,$22.14,-0.04,-0.18%,16084,6627287107.0,United States,2018,Power Generation,Utilities,/market-activity/stocks/cmsc
PTGX,Protagonist Therapeutics Inc. Common Stock,$103.75,0.86,0.836%,785728,6620154285.0,United States,2016,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/ptgx
AAON,AAON Inc. Common Stock,$80.88,-0.37,-0.455%,497342,6619519427.0,United States,,Industrial Machinery/Components,Industrials,/market-activity/stocks/aaon
FSS,Federal Signal Corporation Common Stock,$108.57,-0.54,-0.495%,341358,6611060834.0,United States,,Auto Manufacturing,Industrials,/market-activity/stocks/fss
FSV,FirstService Corporation Common Shares,$142.88,1.53,1.082%,149162,6567016412.0,Canada,,Real Estate,Finance,/market-activity/stocks/fsv
ENS,EnerSys Common Stock,$177.95,1.30,0.736%,383956,6557702003.0,United States,2004,Industrial Machinery/Components,Technology,/market-activity/stocks/ens
CENX,Century Aluminum Company Common Stock,$66.03,1.49,2.309%,2659277,6535256323.0,United States,1996,Aluminum,Industrials,/market-activity/stocks/cenx
JBTM,JBT Marel Corporation Common Stock,$125.39,0.32,0.256%,252420,6526563168.0,United States,,Industrial Machinery/Components,Industrials,/market-activity/stocks/jbtm
AMTM,Amentum Holdings Inc. Common Stock,$26.67,-0.39,-1.441%,1902997,6505751144.0,United States,2024,Real Estate,Real Estate,/market-activity/stocks/amtm
RGEN,Repligen Corporation Common Stock,$115.29,-1.66,-1.419%,654337,6502272299.0,United States,1986,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/rgen
EAT,Brinker International Inc. Common Stock,$148.41,-1.19,-0.795%,665423,6463304178.0,United States,,Restaurants,Consumer Discretionary,/market-activity/stocks/eat
TXNM,TXNM Energy Inc. Common Stock,$59.13,0.23,0.39%,1361317,6440519780.0,United States,,Electric Utilities: Central,Utilities,/market-activity/stocks/txnm
SWX,Southwest Gas Holdings Inc. Common Stock (DE),$88.98,-0.08,-0.09%,476545,6439004777.0,United States,,Oil & Gas Production,Utilities,/market-activity/stocks/swx
MSA,MSA Safety Incorporated Common Stock,$165.76,0.10,0.06%,216427,6427297919.0,United States,2000,Industrial Specialties,Health Care,/market-activity/stocks/msa
UEC,Uranium Energy Corp. Common Stock,$13.11,-0.25,-1.871%,6233336,6426794465.0,Canada,,Other Metals and Minerals,Basic Materials,/market-activity/stocks/uec
STWD,STARWOOD PROPERTY TRUST INC. Starwood Property Trust Inc.,$17.26,-0.02,-0.116%,2351781,6397931329.0,United States,2009,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/stwd
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,$21.37,-0.06,-0.28%,8881,6396798802.0,United States,2018,Power Generation,Utilities,/market-activity/stocks/cmsa
MIDD,Middleby Corporation (The) Common Stock,$135.24,0.24,0.178%,778809,6380760739.0,United States,,Industrial Machinery/Components,Industrials,/market-activity/stocks/midd
BIRK,Birkenstock Holding plc Ordinary Shares,$34.67,-0.52,-1.478%,1188799,6376022962.0,,2023,Shoe Manufacturing,Consumer Discretionary,/market-activity/stocks/birk
G,Genpact Limited Common Stock,$37.49,-0.12,-0.319%,1256652,6368193675.0,Bermuda,2007,Professional Services,Consumer Discretionary,/market-activity/stocks/g
BTG,B2Gold Corp Common shares (Canada),$4.74,0.10,2.155%,24793227,6354547597.0,Canada,,Precious Metals,Basic Materials,/market-activity/stocks/btg
RYN,Rayonier Inc. REIT Common Stock,$20.92,0.13,0.625%,1946787,6320698300.0,United States,,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/ryn
OMF,OneMain Holdings Inc. Common Stock,$53.83,-1.14,-2.074%,1729295,6306295605.0,United States,2013,Finance: Consumer Services,Finance,/market-activity/stocks/omf
VOYA,Voya Financial Inc. Common Stock,$67.80,-0.47,-0.688%,910280,6289335468.0,United States,2013,Life Insurance,Finance,/market-activity/stocks/voya
CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,$17.38,-0.02,-0.115%,11042,6286431284.0,United States,,Investment Managers,Finance,/market-activity/stocks/cgabl
LTH,Life Time Group Holdings Inc. Common Stock,$28.20,0.38,1.366%,1688471,6280212192.0,United States,2021,Hotels/Resorts,Consumer Discretionary,/market-activity/stocks/lth
BYD,Boyd Gaming Corporation Common Stock,$83.39,-0.90,-1.068%,639767,6279635834.0,United States,1993,Hotels/Resorts,Consumer Discretionary,/market-activity/stocks/byd
GATX,GATX Corporation Common Stock,$176.51,3.58,2.07%,232952,6270276637.0,United States,,Transportation Services,Consumer Discretionary,/market-activity/stocks/gatx
MKTX,MarketAxess Holdings Inc. Common Stock,$175.76,0.61,0.348%,628074,6247963056.0,United States,2004,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/mktx
CPB,The Campbell's Company Common Stock,$20.88,-1.14,-5.177%,9477137,6225298669.0,United States,,Packaged Foods,Consumer Staples,/market-activity/stocks/cpb
FAF,First American Corporation (New) Common Stock,$60.84,0.34,0.562%,1043668,6224139464.0,United States,,Specialty Insurers,Finance,/market-activity/stocks/faf
SEE,Sealed Air Corporation Common Stock,$42.14,0.04,0.095%,4071635,6210325527.0,United States,,Major Chemicals,Industrials,/market-activity/stocks/see
POR,Portland General Electric Co Common Stock,$53.55,0.40,0.753%,1161473,6197182831.0,United States,,Electric Utilities: Central,Utilities,/market-activity/stocks/por
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share),$5.72,0.07,1.239%,3992037,6189455232.0,Brazil,,Oil/Gas Transmission,Utilities,/market-activity/stocks/ugp
THG,Hanover Insurance Group Inc,$175.59,0.28,0.16%,322497,6178801392.0,United States,,Property-Casualty Insurers,Finance,/market-activity/stocks/thg
CHDN,Churchill Downs Incorporated Common Stock,$88.51,-1.08,-1.205%,462861,6168826240.0,United States,,Services-Misc. Amusement & Recreation,Consumer Discretionary,/market-activity/stocks/chdn
HR,Healthcare Realty Trust Incorporated Common Stock,$17.68,0.39,2.256%,2581493,6167666267.0,United States,,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/hr
ALGM,Allegro MicroSystems Inc. Common Stock,$33.28,0.47,1.432%,1896610,6166480154.0,United States,2020,Semiconductors,Technology,/market-activity/stocks/algm
AROC,Archrock Inc. Common Stock,$35.12,0.22,0.63%,1247952,6144099376.0,United States,,Natural Gas Distribution,Utilities,/market-activity/stocks/aroc
KMX,CarMax Inc,$43.31,0.70,1.643%,2472980,6141212522.0,United States,,Retail-Auto Dealers and Gas Stations,Consumer Discretionary,/market-activity/stocks/kmx
MUR,Murphy Oil Corporation Common Stock,$42.74,1.06,2.543%,1821882,6126723994.0,United States,,Oil & Gas Production,Energy,/market-activity/stocks/mur
LAD,Lithia Motors Inc. Common Stock,$261.54,3.97,1.541%,393249,6113473961.0,United States,,Retail-Auto Dealers and Gas Stations,Consumer Discretionary,/market-activity/stocks/lad
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,$39.55,-0.12,-0.302%,2998318,6113185401.0,United Kingdom,2021,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/cnta
GXO,GXO Logistics Inc. Common Stock ,$53.27,0.25,0.472%,972131,6110792353.0,United States,2021,Transportation Services,Consumer Discretionary,/market-activity/stocks/gxo
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,$31.93,0.87,2.801%,2234317,6104358657.0,United States,2017,Oil & Gas Production,Energy,/market-activity/stocks/mgy
WH,Wyndham Hotels & Resorts Inc. Common Stock ,$81.21,-2.11,-2.532%,977364,6094953754.0,United States,2018,Hotels/Resorts,Consumer Discretionary,/market-activity/stocks/wh
ECG,Everus Construction Group Inc. Common Stock,$119.41,-1.23,-1.02%,381422,6094878172.0,United States,2024,Homebuilding,Consumer Discretionary,/market-activity/stocks/ecg
CRC,California Resources Corporation Common Stock,$68.55,0.84,1.241%,768986,6082914152.0,United States,2020,Oil & Gas Production,Energy,/market-activity/stocks/crc
TERN,Terns Pharmaceuticals Inc. Common Stock,$52.62,-0.16,-0.303%,29378789,6073052687.0,United States,2021,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/tern
ORLA,Orla Mining Ltd. Common Shares,$17.54,0.07,0.401%,1633149,6061364417.0,,2020,Precious Metals,Basic Materials,/market-activity/stocks/orla
FNB,F.N.B. Corporation Common Stock,$17.05,-0.03,-0.176%,10957035,6059226869.0,United States,,Major Banks,Finance,/market-activity/stocks/fnb
MBLY,Mobileye Global Inc. Class A Common Stock,$7.18,-0.16,-2.18%,5745975,6041119271.0,Israel,2022,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/mbly
ROAD,Construction Partners Inc. Class A Common Stock,$106.72,-2.16,-1.984%,561440,6031320927.0,United States,2018,Military/Government/Technical,Industrials,/market-activity/stocks/road
NEU,NewMarket Corp Common Stock,$641.94,0.93,0.145%,120421,6031318383.0,United States,,Major Chemicals,Industrials,/market-activity/stocks/neu
HXL,Hexcel Corporation Common Stock,$79.94,0.42,0.528%,1131403,6027075181.0,United States,,Major Chemicals,Industrials,/market-activity/stocks/hxl
PSN,Parsons Corporation Common Stock,$56.25,-0.13,-0.231%,724203,6019396650.0,United States,2019,EDP Services,Technology,/market-activity/stocks/psn
INGM,Ingram Micro Holding Corporation Common Stock,$25.92,0.84,3.349%,1284318,6004278161.0,United States,2024,Retail: Computer Software & Peripheral Equipment,Technology,/market-activity/stocks/ingm
GBCI,Glacier Bancorp Inc. Common Stock,$46.14,-0.22,-0.475%,703875,6003160419.0,United States,,Major Banks,Finance,/market-activity/stocks/gbci
MHK,Mohawk Industries Inc. Common Stock,$97.59,0.65,0.671%,1184066,5996580916.0,United States,,Home Furnishings,Consumer Discretionary,/market-activity/stocks/mhk
TTAN,ServiceTitan Inc. Class A Common Stock,$62.90,-0.11,-0.175%,570339,5991930927.0,United States,2024,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/ttan
DSGX,Descartes Systems Group Inc. (The) Common Stock,$69.45,-1.53,-2.156%,221604,5974387149.0,Canada,,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/dsgx
LEA,Lear Corporation Common Stock,$118.00,-0.31,-0.262%,677014,5973981162.0,United States,,Auto Parts:O.E.M.,Consumer Discretionary,/market-activity/stocks/lea
FROG,JFrog Ltd. Ordinary Shares,$49.08,-0.23,-0.466%,1860753,5946339081.0,United States,2020,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/frog
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,$16.68,0.05,0.301%,48155,5942630988.0,Bermuda,,Property-Casualty Insurers,Finance,/market-activity/stocks/acgln
LGN,Legence Corp. Class A Common stock,$54.98,-0.11,-0.20%,1652684,5939925501.0,United States,2025,Engineering & Construction,Consumer Discretionary,/market-activity/stocks/lgn
BEPC,Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares,$40.71,-0.56,-1.357%,1147880,5924133733.0,United States,,Electric Utilities: Central,Utilities,/market-activity/stocks/bepc
RHP,Ryman Hospitality Properties Inc. (REIT),$93.87,-0.02,-0.021%,666673,5924067363.0,United States,,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/rhp
UBSI,United Bankshares Inc. Common Stock,$42.41,0.20,0.474%,860004,5923427729.0,United States,,Major Banks,Finance,/market-activity/stocks/ubsi
PFH,Prudential Financial Inc. 4.125% Junior Subordinated Notes due 2060,$16.59,-0.04,-0.241%,40014,5922630000.0,United States,2020,Life Insurance,Finance,/market-activity/stocks/pfh
PAYC,Paycom Software Inc. Common Stock,$124.22,1.25,1.017%,1081570,5921086544.0,United States,2014,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/payc
RYTM,Rhythm Pharmaceuticals Inc. Common Stock,$86.66,-0.30,-0.345%,747848,5917581480.0,United States,2017,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/rytm
ACT,Enact Holdings Inc. Common Stock,$41.78,0.01,0.024%,379106,5898780618.0,United States,2021,Specialty Insurers,Finance,/market-activity/stocks/act
PLNT,Planet Fitness Inc. Common Stock,$74.24,0.76,1.034%,1044510,5894677678.0,United States,2015,Hotels/Resorts,Consumer Discretionary,/market-activity/stocks/plnt
CGON,CG Oncology Inc. Common stock,$69.81,2.26,3.346%,1707493,5894421312.0,United States,2024,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/cgon
OLLI,Ollie's Bargain Outlet Holdings Inc. Common Stock,$96.08,-1.13,-1.162%,918218,5856672945.0,United States,2015,Department/Specialty Retail Stores,Consumer Discretionary,/market-activity/stocks/olli
RRR,Red Rock Resorts Inc. Class A Common Stock,$55.69,-0.05,-0.09%,623332,5848944274.0,United States,2016,Hotels/Resorts,Consumer Discretionary,/market-activity/stocks/rrr
DLB,Dolby Laboratories Common Stock,$61.20,-0.15,-0.244%,399949,5847036556.0,United States,2005,Multi-Sector Companies,Miscellaneous,/market-activity/stocks/dlb
HUT,Hut 8 Corp. Common Stock,$52.66,3.08,6.212%,4381775,5839324375.0,United States,,Finance: Consumer Services,Finance,/market-activity/stocks/hut
EXP,Eagle Materials Inc Common Stock,$185.14,-0.52,-0.28%,476599,5819346029.0,United States,,Building Materials,Industrials,/market-activity/stocks/exp
CBC,Central Bancompany Inc. Class A Common Stock,$24.21,-0.01,-0.041%,862026,5817496048.0,United States,,,,/market-activity/stocks/cbc
MTG,MGIC Investment Corporation Common Stock,$27.03,0.01,0.037%,1932209,5810189321.0,United States,1991,Property-Casualty Insurers,Finance,/market-activity/stocks/mtg
UWMC,UWM Holdings Corporation Class A Common Stock,$3.62,-0.13,-3.467%,9726114,5791807239.0,United States,,Finance: Consumer Services,Finance,/market-activity/stocks/uwmc
APGE,Apogee Therapeutics Inc. Common Stock,$83.28,-0.73,-0.869%,603046,5786731370.0,United States,2023,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/apge
COGT,Cogent Biosciences Inc. Common Stock,$35.62,0.20,0.565%,2591103,5781440168.0,United States,2018,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/cogt
IFS,Intercorp Financial Services Inc. Common Shares,$50.06,0.13,0.26%,100110,5779312112.0,,2019,Commercial Banks,Finance,/market-activity/stocks/ifs
MIRM,Mirum Pharmaceuticals Inc. Common Stock,$95.65,-0.59,-0.613%,724768,5771675666.0,United States,2019,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/mirm
ESAB,ESAB Corporation Common Stock,$94.65,-1.46,-1.519%,705787,5762436057.0,United States,2022,Industrial Machinery/Components,Industrials,/market-activity/stocks/esab
PTCT,PTC Therapeutics Inc. Common Stock,$69.58,0.68,0.987%,666657,5759465713.0,United States,2013,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/ptct
SITE,SiteOne Landscape Supply Inc. Common Stock,$129.71,-0.66,-0.506%,461216,5747840138.0,United States,2016,Professional and commerical equipment,Consumer Discretionary,/market-activity/stocks/site
PATH,UiPath Inc. Class A Common Stock,$10.95,-0.20,-1.794%,24161979,5736944498.0,United States,2021,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/path
MWH,SOLV Energy Inc. Class A Common Stock,$28.32,-0.58,-2.007%,642609,5734529148.0,United States,2026,Military/Government/Technical,Industrials,/market-activity/stocks/mwh
SRRK,Scholar Rock Holding Corporation Common Stock,$49.90,1.09,2.233%,1032041,5732666490.0,United States,2018,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/srrk
NXST,Nexstar Media Group Inc. Common Stock,$188.90,2.87,1.543%,435641,5728958633.0,United States,2003,Broadcasting,Industrials,/market-activity/stocks/nxst
PCTY,Paylocity Holding Corporation Common Stock,$106.29,-0.51,-0.478%,788725,5726553593.0,United States,2014,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/pcty
URBN,Urban Outfitters Inc. Common Stock,$64.74,-1.79,-2.691%,1167371,5724545547.0,United States,1993,Clothing/Shoe/Accessory Stores,Consumer Discretionary,/market-activity/stocks/urbn
BZ,KANZHUN LIMITED American Depository Shares,$13.16,-0.34,-2.519%,4691891,5721121851.0,China,2021,Computer Software: Programming Data Processing,Technology,/market-activity/stocks/bz
NJR,NewJersey Resources Corporation Common Stock,$56.70,0.86,1.54%,557613,5717921990.0,United States,,Oil/Gas Transmission,Utilities,/market-activity/stocks/njr
GTES,Gates Industrial Corporation plc Ordinary Shares,$22.52,0.02,0.089%,1732375,5716830341.0,United Kingdom,2018,Industrial Machinery/Components,Industrials,/market-activity/stocks/gtes
FLY,Firefly Aerospace Inc. Common Stock,$35.57,0.72,2.066%,9071023,5689506406.0,United States,2025,Military/Government/Technical,Industrials,/market-activity/stocks/fly
KVYO,Klaviyo Inc. Series A Common Stock,$18.64,-0.57,-2.967%,2929277,5680989671.0,United States,2023,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/kvyo
