symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url
NVS,Novartis AG Common Stock,$151.22,-1.62,-1.06%,2024090,288550696898.0,Switzerland,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/nvs
AMAT,Applied Materials Inc. Common Stock,$354.31,1.69,0.479%,4024821,281183911977.0,United States,1972,Semiconductors,Technology,/market-activity/stocks/amat
LRCX,Lam Research Corporation Common Stock,$224.35,3.70,1.677%,6818417,280161773850.0,United States,1984,Industrial Machinery/Components,Technology,/market-activity/stocks/lrcx
UNH,UnitedHealth Group Incorporated Common Stock (DE),$307.73,26.37,9.372%,22099862,279319085935.0,United States,,Medical Specialities,Health Care,/market-activity/stocks/unh
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$119.72,-2.59,-2.118%,10879190,276466937430.0,China,2014,Real Estate,Real Estate,/market-activity/stocks/baba
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$94.15,0.51,0.545%,6946741,273573182490.0,Netherlands,2022,Oil & Gas Production,Energy,/market-activity/stocks/shel
RTX,RTX Corporation Common Stock,$197.92,-0.49,-0.247%,3037493,266395217622.0,United States,,Aerospace,Industrials,/market-activity/stocks/rtx
MS,Morgan Stanley Common Stock,$168.43,1.88,1.129%,6036392,266352981082.0,United States,,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/ms
TM,Toyota Motor Corporation Common Stock,$203.66,-0.76,-0.372%,269414,265754503696.0,Japan,,Auto Manufacturing,Industrials,/market-activity/stocks/tm
INTC,Intel Corporation Common Stock,$52.91,2.13,4.195%,129544160,265255044639.0,United States,,Semiconductors,Technology,/market-activity/stocks/intc
GS,Goldman Sachs Group Inc. (The) Common Stock,$864.15,-1.90,-0.219%,1498397,254919014979.0,United States,1999,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/gs
WFC,Wells Fargo & Company Common Stock,$81.75,-0.10,-0.122%,8820860,252229086526.0,United States,,Major Banks,Finance,/market-activity/stocks/wfc
PM,Philip Morris International Inc Common Stock,$157.49,-2.85,-1.777%,3443023,245161466897.0,United States,, Medicinal Chemicals and Botanical Products ,Health Care,/market-activity/stocks/pm
GEV,GE Vernova Inc. Common Stock,$910.75,13.39,1.492%,1399068,244860788704.0,United States,2024,,,/market-activity/stocks/gev
CCZ,Comcast Holdings ZONES,$65.00,0.00,0.00%,3,233859989610.0,United States,,Cable & Other Pay Television Services,Telecommunications,/market-activity/stocks/ccz
RY,Royal Bank Of Canada Common Stock,$165.39,0.94,0.572%,789554,230971230056.0,Canada,,Commercial Banks,Finance,/market-activity/stocks/ry
IBM,International Business Machines Corporation Common Stock,$245.07,-1.67,-0.677%,2356079,229884091388.0,United States,,Computer Manufacturing,Technology,/market-activity/stocks/ibm
LIN,Linde plc Ordinary Shares,$494.59,-4.88,-0.977%,1703810,229190115616.0,United States,,Major Chemicals,Basic Materials,/market-activity/stocks/lin
TMUS,T-Mobile US Inc. Common Stock,$200.54,1.93,0.972%,4481271,220967553679.0,United States,,Telecommunications Equipment,Telecommunications,/market-activity/stocks/tmus
MCD,McDonald's Corporation Common Stock,$304.85,-4.91,-1.585%,2033759,216565026014.0,United States,,Restaurants,Consumer Discretionary,/market-activity/stocks/mcd
AXP,American Express Company Common Stock,$307.03,1.30,0.425%,2265496,210556097566.0,United States,,Finance: Consumer Services,Finance,/market-activity/stocks/axp
PEP,PepsiCo Inc. Common Stock,$153.21,-3.52,-2.246%,5151142,209429025248.0,United States,,Beverages (Production/Distribution),Consumer Staples,/market-activity/stocks/pep
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,$17.64,0.06,0.341%,3324092,209346420629.0,Japan,,Commercial Banks,Finance,/market-activity/stocks/mufg
SAP,SAP  SE ADS,$169.48,-1.64,-0.958%,2195900,208206897239.0,Germany,,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/sap
VZ,Verizon Communications Inc. Common Stock,$48.62,-0.53,-1.078%,21945961,205063804248.0,United States,,Telecommunications Equipment,Telecommunications,/market-activity/stocks/vz
C,Citigroup Inc. Common Stock,$117.13,-0.23,-0.196%,8450123,204897735524.0,United States,,Major Banks,Finance,/market-activity/stocks/c
KLAC,KLA Corporation Common Stock,$1548.85,8.79,0.571%,527333,203018008947.0,United States,1980,Electronic Components,Technology,/market-activity/stocks/klac
TTE,TotalEnergies SE Ordinary Shares,$91.37,-0.88,-0.954%,2421536,199356713031.0,France,,Oil & Gas Production,Energy,/market-activity/stocks/tte
T,AT&T Inc.,$28.04,-0.28,-0.989%,27653013,195818917979.0,United States,,Telecommunications Equipment,Telecommunications,/market-activity/stocks/t
NEE,NextEra Energy Inc. Common Stock,$93.67,0.94,1.014%,6125418,195330318428.0,United States,,EDP Services,Technology,/market-activity/stocks/nee
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$73.31,0.52,0.714%,2208911,186167562466.0,Australia,,Coal Mining,Energy,/market-activity/stocks/bhp
AMGN,Amgen Inc. Common Stock,$340.00,-2.57,-0.75%,3162248,183283009500.0,United States,1983,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/amgn
TXN,Texas Instruments Incorporated Common Stock,$199.735,0.315,0.158%,4658958,181851402605.0,United States,,Semiconductors,Technology,/market-activity/stocks/txn
TMO,Thermo Fisher Scientific Inc Common Stock,$489.50,1.31,0.268%,1287642,181841537438.0,United States,,Industrial Machinery/Components,Industrials,/market-activity/stocks/tmo
ABT,Abbott Laboratories Common Stock,$101.83,-0.47,-0.459%,13310999,177352965303.0,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abt
TJX,TJX Companies Inc. (The) Common Stock,$157.58,-4.24,-2.62%,4308617,174411222857.0,United States,,Clothing/Shoe/Accessory Stores,Consumer Discretionary,/market-activity/stocks/tjx
GILD,Gilead Sciences Inc. Common Stock,$138.80,-1.33,-0.949%,5439158,172309169286.0,United States,1992,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/gild
DIS,Walt Disney Company (The) Common Stock,$95.78,-0.50,-0.519%,7913020,169676171329.0,United States,,Services-Misc. Amusement & Recreation,Consumer Discretionary,/market-activity/stocks/dis
CRM,Salesforce Inc. Common Stock,$182.96,-2.07,-1.119%,12344628,168872080000.0,United States,2004,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/crm
SAN,Banco Santander S.A. Sponsored ADR (Spain),$11.42,-0.10,-0.868%,12286217,168093531639.0,Spain,,Commercial Banks,Finance,/market-activity/stocks/san
ANET,Arista Networks Inc. Common Stock,$133.64,7.39,5.853%,5758039,167923725758.0,United States,,Computer Communications Equipment,Telecommunications,/market-activity/stocks/anet
BA,Boeing Company (The) Common Stock,$210.00,-2.30,-1.083%,4084767,165027269400.0,United States,,Aerospace,Industrials,/market-activity/stocks/ba
NVO,Novo Nordisk A/S Common Stock,$36.91,0.24,0.654%,13916322,164803150000.0,Denmark,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/nvo
SCHW,Charles Schwab Corporation (The) Common Stock,$93.34,0.35,0.376%,11971828,162234201823.0,United States,,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/schw
TD,Toronto Dominion Bank (The) Common Stock,$96.99,1.10,1.147%,7681792,161859790566.0,Canada,,Commercial Banks,Finance,/market-activity/stocks/td
